专辑名,歌手/乐队,音乐类型+特点,地区,噪音程度,摇摆速率,负担程度,上一轮店里放,URL
downt,downt,"indie-rock, math-rock",日本,7,,,,
crystallize,东京酒吐座,"dream pop, shoegaze",日本,7,,,,
Memory Streams,Portico Quartet,"ambient jazz, fusion jazz, math-rock",英国,6,,8,,
El Ten Eleven,El Ten Eleven,"math-rock, post-rock",美国,6,,,,
C,A picture of her,math-rock,日本,6,,,,
yes?,Hotel New Tokyo,"jazz hippop, math-rock",日本,6,,,,
I Dig You,恐龙的皮,"dream pop, indie-pop",大陆,6,,,,
十万个为什么,惘闻,"ambient-rock, post-rock",大陆,5.5,6.5,5,,
Fast Forward,El Ten Eleven,"ambient-rock, electronic, math-rock",美国,5.5,,,,
Neon Donuts,BowAsWell,"electronic, funk, synthesizer",大陆,5.1,,,,
Blue Building Blocks,how to count one to ten,math-rock,日本,5,6.55,3.5,,
Dreamer On The Run,U137,post-rock,瑞典,5,5,3.5,,
Inner Symphonies,Hania Rani,"classical, new-classical?",波兰,5,,7.5,,
Floa,Mammal Hands,"contemporary-jazz, math-rock",英国,5,,,,
Gift from the Trees,Mammal Hands,"contemporary-jazz, math-rock",英国,5,,,,https://c6.y.qq.com/base/fcgi-bin/u?__=Os73DTUb6Hj4
"eye ",mitsume,"electronic, indie-rock, math-rock",日本,5,,4,,
Dark Times,Vince Staples,"hiphop, jazz hippop, neo-soul",美国,4.75,6.5,3,,
物件，所在,Funkymo,"funk, 闽南",台湾,4.75,,,,
"SABLE, fABLE ",Bon Iver,indie-folk,美国,4.75,,,,
FOR STARTERS,SOLOMON,R&B,美国,4.5,,,,
Ocean,iimmune邢江波,"electronic, post-rock",大陆,4.5,,,,
Prayer,Re:plus,"ambient jazz, jazz hippop",日本,4.25,,4,,
Expanding To One,Phi-Psonics,"ambient jazz, jazz",美国,4.25,,5,,
The Beast in Its Tracks,Josh Ritter,indie-folk,美国,3.5,,2,,
My Favorite Tune,Ryo Fukui 福居良,"cool jazz, jazz, jazz hippop",日本,3,,,,
Dream of the Egg,Tomo Katsurada,"Psychedelic rock, ambient-rock",日本,3,,,,
Esja,Hania Rani,"Pure-Piano, ambient jazz, classical",波兰,2,,2.5,,
French Exit,TV Girl,"Alternative Rock, Lofi, electronic",美国,,,,,
The Mocking Stars,LAUSSE THE CAT,"abstract hiphop, alternative hiphop, hiphop, jazz hippop",英国,,,,,
Necessary Fictions,GoGo Penguin,"contemporary-jazz, fusion jazz, math-rock",英国,,,,,
Patch,Fayzz,"math-rock, post-rock",大陆,,,,,
5689,超级市场,"electronic, indie-rock",大陆,,,,,
石の糸,kanekoayano,indie-rock,日本,,,,,
枯萎颂,王忆灵,indie-folk,,,,,,
Essex Honey,Blood Orange,R&B,英国,,,,,
Son Of Spergy,Daniel Caesar,R&B,"加拿大, 美国",,,,,
"Sonorous Faith, Pt.1",Hope the flowers,post-rock,泰国,,,,,
咸空气,咸空气,post-rock,大陆,,,,,
The One Above,Hubris,post-rock,瑞士,,,,,
Nature Of Everything,Hope the flowers,post-rock,泰国,,,,,
story,Jizue,"contemporary-jazz, latin, math-rock, post-rock",日本,,,,,
Shiori,Jizue,"contemporary-jazz, math-rock",日本,,,,,
MELODICA,Haruka Nakamura 中村遥,"ambient jazz, jazz hippop",日本,,,,,
Captured Spirits,Mammal Hands,"contemporary-jazz, jazz, math-rock",英国,,,,,
Octava,Phi-Psonics,"ambient jazz, jazz",美国,,,,,
Premiers Symptômes,Air,"ambient jazz, electronic",法国,,,,,
泳客 (Re：visions),Uhsgnǒd 仙童,"indie-rock, post-rock",大陆,,,,,
Liquid Yellow Portraits,Shingo Suzuki,"funk, fusion jazz, jazz",日本,,,,,
朝往暮归,碎叠,"indie-rock, math-rock, post-rock",大陆,,,,,
Nabowa,Nabowa,math-rock,日本,,,,,
婚礼之途,浅堤,indie-rock,台湾,,,,,
twenties,Bren joy,"R&B, funk, soul",美国,,,,,
SoulFa,SoulFa,indie-rock,台湾,,,,,
牛窝坑之子,Vansdaddy,hiphop,大陆,,,,,
60km/h,晨曦光廊,"electronic, post-rock",台湾,,,,,
HIT ME HARD AND SOFT,Billie Eilish,pop,美国,,,,,
