专辑名,URL,上一轮店里放,专辑观感,关键制作人,发行方/唱片公司,发行日期,噪音程度,地区,感情分,技法,摇摆速率,新颖程度,概念传达,歌手/乐队,细节处理,评价/理解,评分 out of 100,负担程度,音乐类型+特点
牛窝坑之子,,,7,编曲LusciousBB,网易云,"June 10, 2024",,大陆,6,6,,6,7,Vansdaddy,7,采样很多样丰富，暂时没听过大陆这么做的，传达一个从此地走出来的青年这个概念传达的可以。聊爸爸那首与几个采样很牛。但是似乎没有更多突破采样的经典，总的来说是2024年till now喜欢的嘻哈专辑。,65,,hiphop
60km/h,,,8,,StreetVoice,"February 24, 2013",,台湾,7.75,6,,5,7,晨曦光廊,6,"有比较不一样的元素，比如电子。
按照饺子面的说法跟骑摩托一样的话那确实
概念上有给到茁壮成长的感觉，比较欣赏光合作用里电吉他的水准，不足在于曲目太少，只有五首。
细节处理：编曲很好，其余感觉稍显不足
技法：听感可以，感觉丰富度还好，
主打曲光合作用和60km/h不用多说，上乘的作品，包括风中的人也很厉害",68.5,,"electronic, post-rock"
HIT ME HARD AND SOFT,,,6,制作FINNEAS,"Darkroom/Interscope Records
","May 17, 2024",,美国,8,7,,6,5,Billie Eilish,6,"“重返自我的本真之旅”没太感觉
丰富程度很好
主打两首歌听感算挺不错的，但是没太觉得突破了传统我对她的印象，目前来说算是保持了高水平",64,,pop
SoulFa,,,,词曲颜鹏轩？不太确定是不是乐队成员。ok不是,"StreetVoice

","December 1, 2019",,台湾,,,,,,SoulFa,,,0,,indie-rock
"eye ",,,,,/,"September 22, 2012",5,日本,,,,,,mitsume,,"太空科幻流行
春日：符合我对mitsume的印象，失真/fuzz （bass+吉他）的感觉很深
Fly me to the mars（取名小巧思？）氛围营造得好，是有太空漫游的感觉
Disco： bass电吉他编曲好
煙突： bass，键盘
一个评论：日式浪漫就是在绚烂的烟火下，却爱着烟火下的微尘吧。",0,4,"electronic, indie-rock, math-rock"
twenties,,,7.25,Caleb Lee,Human Re Sources,"May 15, 2019",,美国,7,7,,7,6,Bren joy,7,"(后来发现2021年出了deluxe版)
一张蓝专，初次听就很惊艳，现在重新写评分回听还是有惊喜。
When Martin Died 接上 Drag Race 很厉害
鼓是基本用音效鼓了，鼓点我倒是不觉得老套，很新？钢琴/键盘的用法很好
丝滑算是什么评分维度以内的，暂时不太确定。唱歌的智商很高（假音运用）但是还是有点干/薄。
专辑丰富度在整个（R&B范围）预料内很强，基本大多是在意料之内。
没太听出来专辑有什么特别想表达的，可能是讲类似这个年龄段的精彩。
一共八首，4.5首很牛的，算是很厉害",68.5,,"R&B, funk, soul"
婚礼之途,,,,,,"December 1, 2021",,台湾,,,,,,浅堤,,,0,,indie-rock
Nabowa,,,,,,"May 12, 2010",,日本,,,,,,Nabowa,,,0,,math-rock
Ocean,,,,邢江波，发光曲线吉他手,,"July 1, 2015",4.5,大陆,,,,,,iimmune邢江波,,,0,,"electronic, post-rock"
朝往暮归,,,7,"吉他/合成器：小朱
口琴/小号：怪格瑞
贝斯：维峻
鼓：阿琛
特邀制作人：Eric@缺省Default，徐赛@小巫师Little Wizard
录音：彭涵轩@Touch Studio，徐赛@小巫师Little Wizard
混音：金昊喆
母带：Electra@Sub Sound Studio
封面：潘菲",StreetVoice,"August 10, 2024",,大陆,7,6,,6,7.55,碎叠,7,"首先专辑概念比较好，以四季做主题，从冬春夏秋再到冬，碎叠的优点很明显了，对于主题的画面感营造得特别强，短板个人认为在于风格变化略嫌不够，数摇后摇的基本功很ok了，新乐队挺厉害的
晴天公园
我独自过冬：两把吉他的音色配合很好，一把电更明亮，一把木更柔和，背后的电子鼓好，小号的配合好，是有感受到轻微的孤独感的
春江水：bass+吉他+鼓开头起的好，中间两把吉他的花很好，小号起的时候有黄昏的感觉，很柔和，中后段也是经典电吉他的音色，情绪还是很好很柔和
它的城市+换季感冒，这两首很数摇，算是展现乐队把握节奏基本功和情绪铺垫的能力了，一首骗轻柔，一首偏带节奏感，每把乐器的存在感都有，但是也相对基础吧
闯入盛夏，哦呜哦呜噢的人声+和声+笛子不错，口琴用的也刚好
夏日日记，夏天出游的画面感有的，开雪碧音效也挺有创意，
秋天降落，全专真神
雪夜，作为收尾曲good",68.1,,"indie-rock, math-rock, post-rock"
